bid, name, intro, birthday, gender, region
2101, 嚣章鱼, None, 2008-02-11T00:00:00.000, Unknown, Unknown
2122, 寒.冰, 灰飞烟灭，物是人非                                                                                             q：1474013849                                                             w：13140175685                                                            bilibil, 2010-04-18T00:00:00.000, Unknown, Unknown
2133, 残孤之音, 游走在编程猫的各个阴暗的角落..., 2007-12-15T00:00:00.000, Unknown, Unknown
2137, 恬静的咪噜宝宝hu, None, 2000-01-01T00:00:00.000, Unknown, Unknown
2142, 冷静的导弹鲨宝宝4o, None, 2000-01-01T00:00:00.000, Unknown, Unknown
2187, 罗小黑, None, 2015-03-08T00:00:00.000, Male, Unknown
2204, LDH2AA, 哈哈哈哈哈哈哈哈哈哈, 2008-03-24T00:00:00.000, Unknown, Unknown
2220, 面具狐狸云绾兮, 想活在一个只有你和爱的世界 ---------------------------------------- 哭哭，爷不想月考，去你*的月考, 2009-01-15T00:00:00.000, Male, Unknown
2227, 汪汪汪汪汪汪汪汪, None, 2011-10-03T00:00:00.000, Male, Unknown
2233, 某只海星, yellow starfish， yeah, 2010-09-08T00:00:00.000, Unknown, Unknown
2240, 林思琪贵纪念号, 没有签名, 1999-12-31T00:00:00.000, Unknown, Unknown
2249, MRZ.JO级生物达奇, 骑士团成员, 2009-11-29T00:00:00.000, Unknown, Unknown
2257, PTG_little的蘑菇, 一朵不知名的小蘑菇~唉？你把手伸过来干嘛？, 2009-07-29T00:00:00.000, Unknown, Unknown
2268, 霞谷双子平菇, None, 2000-03-08T00:00:00.000, Unknown, Unknown
2277, IamKenae, None, 2011-02-28T00:00:00.000, Unknown, Unknown
2296, BaiBai1020, None, 2009-10-19T00:00:00.000, Unknown, Unknown
2306, 幽默大王123, None, 2009-05-22T00:00:00.000, Male, Unknown
2312, 学长, 嘿！找徒弟！, 2009-12-05T00:00:00.000, Unknown, Unknown
2317, adbbb, 喜欢happy, 2010-06-07T00:00:00.000, Unknown, Unknown
2331, 神龙_build, 静态模型爱好者 2026年的夏天我们能否再见, 2024-01-01T00:00:00.000, Unknown, Unknown
2342, 海门忠实信徒Beck, 第 930 位岛民 在 2019 年 9 月 28 日首次上岛 原批，uid241454896，海厨, 2011-06-13T00:00:00.000, Unknown, Unknown
2345, THW中队长沈子熙, 帅气，幽默的“全能岛民, 2010-02-05T00:00:00.000, Unknown, Unknown
2347, 哈斯迪喵, None, 2008-01-19T00:00:00.000, Unknown, Unknown
2348, 逃避君丶, 一个跑酷极强的人（就是降维过不去）, 2012-07-23T00:00:00.000, Unknown, Unknown
2357, ZCH影毒_YD, None, 2007-10-06T00:00:00.000, Unknown, Unknown
2360, Kn光影忍者-沐岩QAQ, 【第943位岛民，2019.9.28上岛】 未来光影城作者，参与建设冰冰未来城，未来枪战，小桥流水等地图 qq: 386292510（备注来源）, 2019-11-15T00:00:00.000, Male, Unknown
2369, fhfhhfkfjsdvjdaasdfsvswdg, 得, 2015-03-08T00:00:00.000, Unknown, Unknown
2400, 葫芦佛, 不忘初心，牢记使命, 1949-07-01T00:00:00.000, Female, Unknown
2406, 孤独的紫色天使, None, 2010-08-17T00:00:00.000, Male, Unknown
2435, 叶君子, None, 2007-07-16T00:00:00.000, Unknown, Unknown
2454, 宅宅梦相家, None, 2015-03-08T00:00:00.000, Unknown, Unknown
2493, PVZ振雷闪鸣猴, 国服闪鸣猴，请战！, 2008-03-08T00:00:00.000, Unknown, Unknown
2497, 白羽-洛依沐然, None, 2009-02-09T00:00:00.000, Male, Unknown
2504, 一个XXX真萌新, None, 1999-12-31T00:00:00.000, Unknown, Unknown
2507, Cody小王子, None, 1999-12-31T00:00:00.000, Unknown, Unknown
2522, AwtyvR, None, 2015-03-08T00:00:00.000, Unknown, Unknown
2526, 幻想一笑而过, 神岛辅助：https://shequ.codemao.cn/community/502281 爱发电：afdian.net/a/Svip9 B站主页：https://space.bilibili.com/475523025 关注下求求了  2019年9月28日上岛 第1064位岛民 　*专做“经典复刻”作品 社区主页https://shequ.codemao.cn/user/617317, Unknown, Unknown, 440000
2530, 时当月色QWQ, 屑啊, 1999-12-31T00:00:00.000, Unknown, Unknown
2547, 傻的俊vx, None, 2011-06-22T00:00:00.000, Unknown, Unknown
2554, 忠厚的刺牙螺7ftD, 求建模师带~~~ AOR人一个（被迫 另外如果是建模新手的话可以从建乐高模型开始，一块1*1积木的宽、高比例是8：3，如果模型比较大可以采用5：2的, 2008-10-10T00:00:00.000, Female, Unknown
2560, ZCH编程小贝壳, 千帆过尽，仍是少年！ 当晦暗散尽，终星河长明, 2008-03-02T00:00:00.000, Unknown, Unknown
2566, 耗子, None, 2008-03-06T00:00:00.000, Unknown, Unknown
2568, 陈治衡11, None, 2015-03-08T00:00:00.000, Unknown, Unknown
2596, 孤僻的飞叶龙5B3o, None, 1999-12-31T00:00:00.000, Female, Unknown
2604, TNTwinter, None, 2008-06-14T00:00:00.000, Male, Unknown
2640, 橘子喵x8, 第1152位岛民 在2019年9月29日首次上岛, 2015-03-09T00:00:00.000, Unknown, Unknown
2651, Chengxuyee, 建筑是屑，代码是屑，建模是屑，音乐是屑。） 总结：大屑）, 2010-05-24T00:00:00.000, Unknown, Unknown
2710, 打酱油的企鹅, just wait, 2021-03-08T00:00:00.000, Female, Unknown
2732, 绵绵瓜瓞, None, 2008-07-10T00:00:00.000, Unknown, Unknown
2741, ^白狐.雪月, 「本狐已逝 有事留言]」 〖欢迎来到一只屑狐狸的主页（）〗 俺开学了QWQ 所以暂退🐸 界里屑狐雪月 ()  学业繁忙+备战小中考ing ☆主页只挂🌷小表妹ღ/挽砸/魏/小新/99/杜鹃🌷☆ ='ღ钟爱  #"浪漫至死不渝"🍃 #"你就藏在那漫天星光中"💐  -@白狐.雪月, 2009-02-12T00:00:00.000, Male, Unknown
2744, 莩兰乌多斯, 和我一起玩吧, 2008-06-08T00:00:00.000, Male, Unknown
2746, 来者什人, 一个不会代码的代码师（滑稽） 主要编写插件以及可嵌入功能， , Unknown, Unknown, 350000
2770, 唐r老i鸭, None, 2008-10-08T00:00:00.000, Unknown, Unknown
2785, 傅昭远, None, 2015-03-08T00:00:00.000, Unknown, Unknown
2788, KM_寒雨, 呜呼噫嘻，春雨熙熙 一切都是误会，却困住了我们两年 终于 历经劫难，终见晓虹... , 2009-11-10T00:00:00.000, Female, Unknown
2798, 星辰今天又白给力, 爱门！为爱莉希雅付出一切！一个全能屑（喜欢玩米家游戏，ut系列，月计系列（），正在谋划着一个刀子剧情地图（）（）（）（）              没了，真的没了）                  你还在干嘛）                 啊看到这里你还不点关注（）, 2010-02-05T00:00:00.000, Unknown, Unknown
2823, 机灵的木叶龙b64N, None, 1999-12-31T00:00:00.000, Unknown, Unknown
2854, 我很厉害的o, None, 2010-04-16T00:00:00.000, Unknown, Unknown
2864, 98K啦啦啦, None, 2009-07-01T00:00:00.000, Unknown, Unknown
2865, 气泡鱼, 帅, 2008-03-24T00:00:00.000, Unknown, Unknown
2870, 霜雾, 狗头万岁~, 1999-12-31T00:00:00.000, Male, Unknown
2872, 嘉嘉爱吃肉, 凹凸粉，爱嘉，编程号：嘉德罗斯～！, 2012-03-12T00:00:00.000, Male, Unknown
2879, YKS夜晚的星空, 神秘希望之队的队长, 2008-01-14T00:00:00.000, Female, Unknown
2886, 星族预言者, None, 2010-12-31T00:00:00.000, Unknown, Unknown
2891, 红豆yn, None, 2015-03-09T00:00:00.000, Unknown, Unknown
2892, 阔爱滴章鱼, None, 2008-07-07T00:00:00.000, Male, Unknown
2898, 大睿dr, None, 2011-09-19T00:00:00.000, Unknown, Unknown
2899, 湖西, None, 2009-06-17T00:00:00.000, Unknown, Unknown
2906, 函数Chara, None, 2009-09-05T00:00:00.000, Unknown, Unknown
2910, 风火年华4215, 追思往忆漫繁华，到今翻成梦话。 马上就要彻底似了（）, 1925-01-01T00:00:00.000, Unknown, 130000
2912, LXL不听话的乖孩子, None, 2009-01-23T00:00:00.000, Unknown, Unknown
2914, 在学代码的飞叶龙, 2019年9月30 日上岛。 正在学代码, 1999-12-31T00:00:00.000, Female, Unknown
2915, 流熙墨晨, None, 2006-11-21T00:00:00.000, Unknown, Unknown
2922, 唯爱工作室编缉猫, None, 2008-04-29T00:00:00.000, Unknown, Unknown
2928, 奥利给分隔符, None, 1969-12-31T00:00:00.000, Unknown, Unknown
2933, 回溯_小白, 嘿！ , 2010-01-19T00:00:00.000, Unknown, Unknown
2943, 炭烤小火龙, None, 2004-02-19T00:00:00.000, Unknown, Unknown
2946, 阿乐子, None, 1999-12-31T00:00:00.000, Unknown, Unknown
2956, 屑豌, None, 2009-04-24T00:00:00.000, Unknown, Unknown
2958, 不→Picture←是, None, 1999-12-31T00:00:00.000, Unknown, Unknown
2990, 小辰?, 那没事了 走了 睡觉去了                       你咋还在？？？？？？？？？？？                                                                                           焯, 2010-01-24T00:00:00.000, Female, Unknown
2991, 神兽喵, 寄宿式学校，经常不在线）, 2021-12-30T00:00:00.000, Unknown, Unknown
